Training log created at 2025-10-28T14:33:14.957871
Epoch 1 : 1650 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:37 hours , time left to finish the epoch : 0:03:45 hours , Loss/total: 8.21577 , IoU: 0.03956 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 1700 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:44 hours , time left to finish the epoch : 0:03:55 hours , Loss/total: 8.21522 , IoU: 0.03987 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 1750 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:03:51 hours , time left to finish the epoch : 0:04:02 hours , Loss/total: 8.21401 , IoU: 0.03974 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 1800 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:03:59 hours , time left to finish the epoch : 0:04:31 hours , Loss/total: 8.21394 , IoU: 0.03970 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 1850 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:05 hours , time left to finish the epoch : 0:03:38 hours , Loss/total: 8.21350 , IoU: 0.03990 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 1900 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:11 hours , time left to finish the epoch : 0:03:19 hours , Loss/total: 8.21189 , IoU: 0.03989 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 1950 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:18 hours , time left to finish the epoch : 0:03:26 hours , Loss/total: 8.21037 , IoU: 0.03993 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2000 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:04:25 hours , time left to finish the epoch : 0:03:35 hours , Loss/total: 8.20899 , IoU: 0.04057 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2050 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:04:33 hours , time left to finish the epoch : 0:03:51 hours , Loss/total: 8.20803 , IoU: 0.04133 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2100 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:40 hours , time left to finish the epoch : 0:02:57 hours , Loss/total: 8.20623 , IoU: 0.04135 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2150 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:04:46 hours , time left to finish the epoch : 0:02:54 hours , Loss/total: 8.20458 , IoU: 0.04188 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2200 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:04:53 hours , time left to finish the epoch : 0:03:06 hours , Loss/total: 8.20220 , IoU: 0.04216 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2250 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:05:01 hours , time left to finish the epoch : 0:03:02 hours , Loss/total: 8.20104 , IoU: 0.04245 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2300 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:05:09 hours , time left to finish the epoch : 0:03:21 hours , Loss/total: 8.19814 , IoU: 0.04301 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2350 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:05:16 hours , time left to finish the epoch : 0:02:38 hours , Loss/total: 8.19559 , IoU: 0.04358 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2400 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:05:23 hours , time left to finish the epoch : 0:02:44 hours , Loss/total: 8.19249 , IoU: 0.04408 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2450 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:05:31 hours , time left to finish the epoch : 0:02:32 hours , Loss/total: 8.19200 , IoU: 0.04509 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2500 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:05:38 hours , time left to finish the epoch : 0:02:20 hours , Loss/total: 8.19056 , IoU: 0.04555 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2550 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:05:44 hours , time left to finish the epoch : 0:02:03 hours , Loss/total: 8.18933 , IoU: 0.04687 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2600 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:05:50 hours , time left to finish the epoch : 0:01:53 hours , Loss/total: 8.18805 , IoU: 0.04723 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2650 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:05:57 hours , time left to finish the epoch : 0:01:49 hours , Loss/total: 8.18633 , IoU: 0.04743 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2700 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:06:04 hours , time left to finish the epoch : 0:01:51 hours , Loss/total: 8.18455 , IoU: 0.04774 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2750 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:06:13 hours , time left to finish the epoch : 0:02:10 hours , Loss/total: 8.18137 , IoU: 0.04789 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2800 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:06:20 hours , time left to finish the epoch : 0:01:39 hours , Loss/total: 8.17946 , IoU: 0.04841 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2850 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:06:26 hours , time left to finish the epoch : 0:01:26 hours , Loss/total: 8.17739 , IoU: 0.04882 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2900 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:06:33 hours , time left to finish the epoch : 0:01:18 hours , Loss/total: 8.17473 , IoU: 0.04899 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 2950 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:06:39 hours , time left to finish the epoch : 0:01:12 hours , Loss/total: 8.17346 , IoU: 0.04933 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3000 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:06:47 hours , time left to finish the epoch : 0:01:17 hours , Loss/total: 8.17148 , IoU: 0.04989 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3050 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:06:54 hours , time left to finish the epoch : 0:00:57 hours , Loss/total: 8.17044 , IoU: 0.05043 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3100 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:07:00 hours , time left to finish the epoch : 0:00:54 hours , Loss/total: 8.16794 , IoU: 0.05085 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3150 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:07:07 hours , time left to finish the epoch : 0:00:47 hours , Loss/total: 8.16637 , IoU: 0.05125 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3200 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:07:14 hours , time left to finish the epoch : 0:00:43 hours , Loss/total: 8.16411 , IoU: 0.05141 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3250 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:07:23 hours , time left to finish the epoch : 0:00:41 hours , Loss/total: 8.16283 , IoU: 0.05171 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3300 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:07:30 hours , time left to finish the epoch : 0:00:27 hours , Loss/total: 8.16044 , IoU: 0.05145 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3350 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:07:37 hours , time left to finish the epoch : 0:00:20 hours , Loss/total: 8.15964 , IoU: 0.05189 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3400 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:07:44 hours , time left to finish the epoch : 0:00:14 hours , Loss/total: 8.15737 , IoU: 0.05196 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3450 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:07:52 hours , time left to finish the epoch : 0:00:07 hours , Loss/total: 8.15459 , IoU: 0.05193 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 3500 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:07:58 hours , time left to finish the epoch : 0:00:00 hours , Loss/total: 8.15271 , IoU: 0.05206 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch [1] completed in 0:07:59 hours
[train] Loss/total: 8.15271 | IoU: 0.05206
[val] 
Epoch 2 : 50 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:00:07 hours , time left to finish the epoch : 0:08:44 hours , Loss/total: 8.11650 , IoU: 0.04770 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 100 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:00:14 hours , time left to finish the epoch : 0:07:36 hours , Loss/total: 8.04746 , IoU: 0.05928 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 150 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:00:22 hours , time left to finish the epoch : 0:08:36 hours , Loss/total: 8.05822 , IoU: 0.06139 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 200 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:00:28 hours , time left to finish the epoch : 0:07:14 hours , Loss/total: 8.03764 , IoU: 0.05921 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 250 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:00:35 hours , time left to finish the epoch : 0:07:41 hours , Loss/total: 8.01670 , IoU: 0.05948 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 300 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:00:42 hours , time left to finish the epoch : 0:07:42 hours , Loss/total: 8.00562 , IoU: 0.05844 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 350 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:00:51 hours , time left to finish the epoch : 0:08:39 hours , Loss/total: 7.99011 , IoU: 0.06209 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 400 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:00:57 hours , time left to finish the epoch : 0:06:47 hours , Loss/total: 7.98764 , IoU: 0.06347 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 450 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:01:04 hours , time left to finish the epoch : 0:06:46 hours , Loss/total: 7.98394 , IoU: 0.06191 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 500 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:01:11 hours , time left to finish the epoch : 0:06:51 hours , Loss/total: 7.98701 , IoU: 0.05991 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 550 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:01:19 hours , time left to finish the epoch : 0:07:58 hours , Loss/total: 7.98975 , IoU: 0.06000 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 600 / 3500 samples , time for last 50 samples : 0:00:11 hours , time since beginning : 0:01:30 hours , time left to finish the epoch : 0:10:42 hours , Loss/total: 7.98972 , IoU: 0.06185 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 2 : 650 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:01:37 hours , time left to finish the epoch : 0:06:34 hours , Loss/total: 7.99334 , IoU: 0.06335 , LR/group0: 0.000100 , LR/group1: 0.000010
